deel	roman	file	chars
1	I	deel1-I.txt	18339
1	II	deel1-II.txt	39497
1	IV	deel1-IV.txt	15693
1	V	deel1-V.txt	63593
1	VI	deel1-VI.txt	29686
1	VII	deel1-VII.txt	17604
1	VIII	deel1-VIII.txt	20376
1	IX	deel1-IX.txt	55280
1	X	deel1-X.txt	21187
1	XI	deel1-XI.txt	43346
1	XII	deel1-XII.txt	61349
1	XIII	deel1-XIII.txt	31307
1	XIV	deel1-XIV.txt	18534
1	XV	deel1-XV.txt	33627
1	XVI	deel1-XVI.txt	28182
1	XVII	deel1-XVII.txt	42916
1	XVIII	deel1-XVIII.txt	26048
1	XIX	deel1-XIX.txt	29818
1	XX	deel1-XX.txt	40609
1	XXI	deel1-XXI.txt	41558
1	XXII	deel1-XXII.txt	62989
1	XXIII	deel1-XXIII.txt	13377
1	XXIV	deel1-XXIV.txt	24795
1	XXV	deel1-XXV.txt	31683
1	XXVI	deel1-XXVI.txt	22565
1	XXVII	deel1-XXVII.txt	14587
1	XXVIII	deel1-XXVIII.txt	12495
1	XXIX	deel1-XXIX.txt	22288
1	XXX	deel1-XXX.txt	17799
1	XXXI	deel1-XXXI.txt	26366
1	XXXII	deel1-XXXII.txt	15639
1	XXXIII	deel1-XXXIII.txt	44111
1	XXXIV	deel1-XXXIV.txt	39527
1	XXXV	deel1-XXXV.txt	57528
1	XXXVII	deel1-XXXVII.txt	36905
1	XXXVIII	deel1-XXXVIII.txt	39926
1	XXXIX	deel1-XXXIX.txt	38411
1	XL	deel1-XL.txt	42788
1	XLI	deel1-XLI.txt	23330
1	XLII	deel1-XLII.txt	21852
1	XLIII	deel1-XLIII.txt	54828
2	XLIV	deel2-XLIV.txt	17530
2	XLV	deel2-XLV.txt	17980
2	XLVI	deel2-XLVI.txt	21446
2	XLVII	deel2-XLVII.txt	16758
2	XLVIII	deel2-XLVIII.txt	19866
2	XLIX	deel2-XLIX.txt	20844
2	L	deel2-L.txt	15294
2	LI	deel2-LI.txt	33335
2	LII	deel2-LII.txt	38456
2	LIII	deel2-LIII.txt	19511
2	LIV	deel2-LIV.txt	32432
2	LV	deel2-LV.txt	18176
2	LVI	deel2-LVI.txt	38922
2	LVII	deel2-LVII.txt	21657
2	LVIII	deel2-LVIII.txt	62825
2	XL	deel2-XL.txt	25209
2	LXI	deel2-LXI.txt	63358
2	LXIII	deel2-LXIII.txt	19779
2	LXIV	deel2-LXIV.txt	55243
2	LXV	deel2-LXV.txt	24805
2	LXVI	deel2-LXVI.txt	27820
2	LXVII	deel2-LXVII.txt	33149
2	LXVIII	deel2-LXVIII.txt	44049
2	LXIX	deel2-LXIX.txt	18193
2	LXX	deel2-LXX.txt	21594
2	LXXI	deel2-LXXI.txt	25898
2	LXXII	deel2-LXXII.txt	18614
2	LXXIII	deel2-LXXIII.txt	50690
2	LXXIV	deel2-LXXIV.txt	40749
2	LXXVI	deel2-LXXVI.txt	22170
