part	roman	latin_title
I	I	De divina et æterna Christi generatione
I	II	De inventione remedii pro salvatione generis humani, et nativitate B. Virginis Marix
I	III	De desponsatione Marix
I	IV	De conceptione Joannis Præcursoris
I	V	De conceptione Salvatoris
I	VI	De Nativitate et Circumcisione Præcursoris Domini
I	VII	De genealogia Salvatoris
I	VIII	De eo quod Joseph voluit dimittere Mariam
I	IX	De Nativitate Salvatoris
I	X	De Circumcisione Domini
I	XI	De Epiphania Domini facta tribus Magis
I	XII	De Præsentatione Domini in Templum
I	XIII	De fuga Domini in Egyptum, et nece Innocentium
I	XIV	De reditu Domini ex Egypto, et initio pænitentiæ Joannis-Baptistæ
I	XV	De eo quod puer Jesus remansit in Jerusalem, et inventus est in Templo
I	XVI	Quid fecerit Dorinus Jesus ab anno duodecimo, usque ad principium anni trigesimi
I	XVII	De officio et vita Joannis-Baptista
I	XVIII	De eo quod Joannes non per seipsum, sed a Deo missus venit ad publicum
I	XIX	De eo quod Joannes confessus est se non esse Christum, sed ejus præcursorem et nuntium
I	XX	De pænitentia facienda
I	XXI	De Baptismo Domini
I	XXII	De jejunio et tentationibus Domini
I	XXIII	De testimonio Joannis de Christo Dei Agno
I	XXIV	De novo testimonio Joannis de Christo, ac de prima discipulorum vocatione, et occulta Christi prædicatione
I	XXV	De mutatione aqux in vinum
I	XXVI	De prima ejectione vendentium de templo, et de Nicodemo
I	XXVII	De incarceratione Joannis-Baptistæ
I	XXVIII	De initio publicæ prædicationis Domini Jesu
I	XXIX	De secunda et tertia vocatione discipulorum
I	XXX	De Epilogo vocationum discipulorum, et de diligentia Christi ad prædicandum
I	XXXI	De vocatione Matthæi et ejus convivio
I	XXXII	De electione duodecim Apostolorum
I	XXXIII	De sermone Domini in monte : primo, de octo Beatitudinibus
I	XXXIV	Sermonis in monte continuatio : Quod Prælati debent lucere opere et sermone, et quod Christus non venit Legem solvere, sed implere
I	XXXV	Sermonis in monte continuatio : De patientia et largitate circa proximum exhibenda
I	XXXVI	Sermonis in monte continuatio : De laude humana in bonis operibus non quærenda
